2021-06-12 12:37:53 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-06-12 12:37:53 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-06-12 12:37:53 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-06-12 12:37:54 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-06-12 12:37:54 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.4.29.Final
2021-06-12 12:37:54 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-06-12 12:37:55 DEBUG LocalXmlResourceResolver:63 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2021-06-12 12:37:55 DEBUG LocalXmlResourceResolver:91 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2021-06-12 12:37:55 DEBUG JaxbCfgProcessor:117 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-06-12 12:37:57 DEBUG Configuration:722 - Building session factory using internal StandardServiceRegistryBuilder
2021-06-12 12:37:57 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-06-12 12:37:57 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2021-06-12 12:37:57 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-06-12 12:37:57 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-06-12 12:37:57 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@6ed3f258
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@6ed3f258
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6ed3f258
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@63787180
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@22356acd
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@3d1848cc
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@2a62b5bc
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@2a62b5bc
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2a62b5bc
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@1f3f02ee
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@1f3f02ee
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1f3f02ee
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@47f9738
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@47f9738
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@47f9738
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@388526fb
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@388526fb
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@388526fb
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@460ebd80
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@460ebd80
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@460ebd80
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@7776ab
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@7776ab
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7776ab
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@79517588
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@79517588
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@79517588
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@503ecb24
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@503ecb24
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3e7dd664
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3e7dd664
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@6fb365ed
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@6fb365ed
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@525575
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6ad3381f
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@1a6c1270
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1a6c1270
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@5d12a356
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@5d12a356
2021-06-12 12:37:58 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@2c1156a7
